loc,status,year,sex,collect,spend,cost,avg,country1,country2,type1,type2,type3
北京,2727,2014,M,118,436,2870,0.5,美国,日本,剧情,科幻,动作
澳门,2260,2010,M,355,1509,4270,0.7,美国,香港,剧情,爱情,喜剧
上海,1293,2011,U,768,5820,4620,1.8,美国,日本,剧情,喜剧,爱情
北京,3677,2010,M,444,986,5880,1.0,美国,中国大陆,剧情,喜剧,爱情
苏州,2102,2012,,126,307,1540,0.3,美国,英国,剧情,爱情,冒险
马鞍山,5828,2008,M,167,561,700,0.3,美国,中国大陆,剧情,喜剧,犯罪
Boston,5109,2008,F,510,4066,4970,0.9,中国大陆,美国,剧情,爱情,喜剧
上海,156,2013,U,35,102,140,0.1,美国,英国,剧情,喜剧,悬疑
北京,353,2014,M,28,234,280,0.1,美国,英国,剧情,冒险,奇幻
,22,2011,F,204,829,3150,0.5,美国,英国,剧情,犯罪,悬疑
Chicago,5998,2008,F,1395,7701,11200,2.5,美国,中国大陆,剧情,喜剧,爱情
深圳,1988,2011,M,756,4580,8400,1.8,美国,中国大陆,剧情,爱情,喜剧
杭州,405,2010,M,39,143,1190,0.1,美国,中国大陆,剧情,喜剧,犯罪
,427,2015,,9,,,,,,,,
海口,8362,2006,,567,4219,1260,0.8,美国,日本,剧情,爱情,喜剧
苏州,5110,2010,M,340,1276,5670,0.8,美国,日本,剧情,喜剧,爱情
北京,2520,2016,F,145,783,4830,1.0,美国,中国大陆,剧情,喜剧,爱情
Kosovo,743,2016,U,826,4193,12530,6.1,美国,日本,剧情,喜剧,动作
西安,490,2011,,789,3033,17850,1.8,美国,中国大陆,剧情,动作,冒险
杭州,1238,2009,,736,3303,6790,1.4,美国,英国,剧情,喜剧,爱情
广州,2352,2010,,914,2322,7770,2.0,美国,英国,剧情,喜剧,爱情
西安,349,2017,U,366,802,2240,2.9,美国,日本,动画,喜剧,短片
杭州,795,2013,F,245,1252,3710,0.8,美国,香港,剧情,喜剧,爱情
,1094,2018,,0,,,,,,,,
,4071,2007,,263,841,3920,0.4,美国,香港,剧情,动作,喜剧
香港,1229,2009,U,223,696,5110,0.4,美国,中国大陆,剧情,爱情,喜剧
镇江,7,2012,,0,,,,,,,,
成都,193,2012,,130,1356,1050,0.4,美国,中国大陆,剧情,爱情,冒险
澳门,457,2011,,7,,,,,,,,
广州,1694,2008,M,713,2070,10710,1.3,美国,日本,剧情,动作,动画
杭州,216,2009,,84,180,3990,0.2,美国,中国大陆,剧情,动作,冒险
Lausanne,2280,2007,M,408,1092,12530,0.7,美国,中国大陆,剧情,喜剧,动作
New York City,1505,2016,U,127,411,3010,0.9,美国,中国大陆,剧情,爱情,喜剧
深圳,397,2009,F,214,861,1330,0.5,日本,韩国,剧情,爱情,喜剧
深圳,361,2014,M,5,,,,,,,,
上海,365,2009,F,67,195,2170,0.1,中国大陆,美国,剧情,喜剧,动作
深圳,1711,2009,F,148,521,4340,0.3,美国,中国大陆,剧情,喜剧,动画
上海,82,2013,U,647,2328,7210,2.1,美国,日本,剧情,爱情,喜剧
上海,13638,2006,M,1020,4122,11130,1.5,中国大陆,美国,剧情,爱情,喜剧
,71,2018,,4,,,,,,,,
成都,1887,2010,F,222,625,4270,0.5,美国,日本,剧情,喜剧,爱情
Bergen,800,2010,,378,1321,5040,0.8,美国,中国大陆,剧情,动作,爱情
,521,2018,M,108,523,2520,2.3,美国,中国大陆,剧情,动作,科幻
南京,1793,2016,,5211,18593,58380,28.9,美国,中国大陆,剧情,喜剧,动作
深圳,253,2014,M,206,1725,6720,0.8,中国大陆,香港,剧情,动作,喜剧
上海,963,2010,U,326,1074,3500,0.7,美国,法国,剧情,爱情,喜剧
上海,132,2015,F,300,1573,5390,1.7,中国大陆,美国,剧情,犯罪,悬疑
上海,1783,2010,M,649,2980,7840,1.3,日本,美国,喜剧,剧情,动画
上海,49,2016,,159,352,4130,1.1,美国,中国大陆,剧情,喜剧,冒险
厦门,1279,2012,M,559,1214,12460,1.5,美国,中国大陆,剧情,动作,喜剧
Edmonton,1178,2010,F,615,2564,7280,1.3,美国,中国大陆,剧情,喜剧,爱情
,1087,2015,,42,377,560,0.2,中国大陆,日本,剧情,爱情,喜剧
苏州,1476,2015,F,83,419,1120,0.5,日本,中国大陆,动画,喜剧,剧情
,44,2009,,755,3497,7000,1.4,美国,日本,动画,喜剧,剧情
丽江,1551,2009,F,25,49,280,0.1,美国,日本,剧情,动画,动作
成都,1311,2012,U,28,239,1190,0.1,中国大陆,美国,剧情,爱情,犯罪
北京,1567,2012,F,25,101,980,0.1,美国,韩国,剧情,冒险,动作
天津,2,2010,,949,3786,9730,2.0,美国,英国,剧情,爱情,喜剧
Fiji,176,2013,,12,20,70,0.0,英国,美国,剧情,喜剧,纪录片
东营,117,2016,F,2,,,,,,,,
西安,1577,2010,F,145,349,1400,0.3,美国,英国,剧情,爱情,喜剧
深圳,3575,2010,M,12,86,140,0.0,美国,中国大陆,剧情,纪录片,喜剧
,2055,2013,F,881,5184,9590,2.7,中国大陆,美国,剧情,爱情,喜剧
P'yŏngyang,2744,2013,,171,429,1330,0.6,中国大陆,美国,剧情,爱情,喜剧
New York City,274,2016,M,238,630,5110,1.3,美国,英国,剧情,喜剧,冒险
德阳,5492,2008,,1981,5215,26530,3.6,美国,中国大陆,剧情,喜剧,动作
杭州,1960,2009,,192,594,1400,0.4,美国,日本,剧情,动画,动作
