227,南京,1783,2016,,5209,18532,58380,28.9,133,4952,43369,3.3
2,深圳,253,2014,M,206,1725,6720,0.8,11,786,5223,0.2
12,上海,963,2010,U,326,1074,3500,0.7,9,,,
15,上海,131,2015,F,300,1573,5320,1.7,120,5306,40806,2.8
14,上海,1782,2010,M,649,2980,7840,1.3,298,13549,174538,2.7
3,上海,49,2016,,159,352,4130,1.1,0,,,
30,厦门,1274,2012,M,557,1211,12320,1.5,141,5684,47164,1.7
14,Edmonton,1179,2010,F,613,2551,7280,1.3,134,4225,45404,1.3
0,,1022,2015,,37,367,490,0.2,116,3741,37858,2.6
32,苏州,1476,2015,F,83,419,1120,0.5,3,,,
1,,44,2009,,754,3495,6930,1.4,106,4091,32459,0.8
25,丽江,1539,2009,F,25,49,280,0.1,1,,,
1242,成都,1299,2012,U,27,237,1120,0.1,86,2833,30016,1.0
49,北京,1561,2012,F,25,101,980,0.1,6,,,
8,天津,2,2010,,948,3784,9660,2.0,289,12010,90782,2.6
5,Fiji,176,2013,,12,20,70,0.0,13,866,4578,0.2
4,东营,117,2016,F,2,,,,0,,,
25,西安,1573,2010,F,145,349,1400,0.3,31,1239,11506,0.3
68,深圳,3549,2010,M,12,86,140,0.0,15,897,6445,0.1
76,,2055,2013,F,877,5176,9520,2.7,60,3111,30474,1.8
72,P'yŏngyang,2744,2013,,171,429,1330,0.6,17,701,6551,0.3
0,New York City,274,2016,M,238,630,5110,1.3,13,551,6587,0.4
78,德阳,5488,2008,,1978,5203,26670,3.6,144,4880,48010,1.1
829,杭州,1960,2009,,192,594,1400,0.4,114,3587,40488,1.0
0,上海,345,2014,,400,2312,7700,1.5,7,,,
1,上海,175,2010,M,49,155,1820,0.1,18,975,5242,0.2
32,上海,2962,2017,U,5,,,,2,,,
22,杭州,492,2008,,379,864,4830,0.7,36,1315,13045,0.3
4,无锡,55,2011,,306,866,5040,0.8,158,4066,48763,1.7
50,上海,3489,2007,,1723,4613,14770,2.8,152,6379,55468,1.1
,,,,,,,,,,,,
3,北京,74,2015,,107,301,560,0.6,70,2565,22596,1.6
75,广州,2131,2007,F,182,1372,3290,0.3,95,3696,29989,0.7
69,广州,649,2009,U,1654,5654,20860,3.1,213,6025,85729,1.8
,,,,,,,,,,,,
11,成都,111,2014,,7,,,,1,,,
38,Waterloo,1,2010,M,733,3866,8540,1.6,98,4408,31591,0.9
13,南京,2657,2017,U,864,3015,17640,7.3,63,1929,26057,2.3
,,,,,,,,,,,,
36,大连,909,2010,F,579,2673,5180,1.3,160,5193,48428,1.5
56,杭州,2451,2008,M,343,1161,7350,0.6,102,4791,35735,0.8
83,厦门,521,2012,,66,629,140,0.2,9,,,
12,,1975,2017,,0,,,,0,,,
1,上海,129,2018,M,49,109,1890,1.3,1,,,
0,上海,25,2017,,3,,,,4,,,
83,西安,4417,2016,F,223,1443,5740,1.5,106,7508,37780,3.0
386,上海,2309,2012,,293,899,3850,0.8,225,17445,110921,2.7
3,,144,2015,U,7,,,,49,1377,14537,2.2
,,,,,,,,,,,,
23,Chicago,1813,2006,,537,1166,6580,0.8,147,3820,41860,1.0
1,深圳,95,2013,F,764,3300,8820,2.6,128,3742,44364,1.9
13,苏州,1551,2017,U,159,827,2030,1.3,60,1846,19445,2.1
3,南京,301,2014,F,78,355,1680,0.3,63,2438,31192,1.1
18,Praha,934,2014,U,392,996,7140,1.5,3,,,
24,,69,2015,M,828,2334,18830,4.5,13,544,5431,0.4
3,珠海,345,2014,M,233,759,5110,0.9,13,639,6299,0.2
1,重庆,290,2014,,113,446,1470,0.4,35,1234,11388,0.6
18,香港,809,2011,F,80,195,1400,0.2,25,853,5676,0.3
21,拉萨,383,2010,,1,,,,0,,,
1,Melbourne,166,2018,,182,1211,2310,2.7,12,604,2577,1.1
9,广州,2778,2011,U,381,830,5390,0.9,22,1063,5852,0.3
6,Minneapolis,317,2011,,285,1127,3920,0.7,48,2050,18845,0.5
3,北京,1124,2016,,159,896,4130,1.0,27,1279,7890,0.9
22,武汉,542,2013,F,638,2091,12810,1.9,211,8920,57936,2.7
19,Columbus,1503,2011,F,439,2004,3640,1.1,71,2676,24467,0.8
365,北京,15739,2009,F,910,5979,16450,1.8,540,21762,190184,4.5
7,,0,2018,,0,,,,0,,,
3,上海,25,2010,,23,61,770,0.1,7,,,
780,P'yŏngyang,16155,2009,,352,2017,1960,0.7,307,11488,103273,2.5
75,杭州,307,2006,,425,983,3220,0.7,39,1428,9449,0.3
28,北京,1374,2010,U,108,345,840,0.2,18,599,3904,0.8
7,广州,2431,2012,,704,2529,13790,1.8,177,7289,50624,2.0
3,济南,412,2015,F,94,1420,2310,0.5,3,,,
13,宁波,28,2011,,77,164,1680,0.2,84,2728,22874,0.9
93,深圳,4073,2016,F,830,2182,9520,4.6,61,2155,19016,1.5
132,Kābol,3684,2011,F,379,1758,4550,0.9,41,1349,11660,0.4
9,成都,1147,2018,,7,,,,27,1417,10831,2.1
14952,,2521,2006,U,2996,7592,23310,4.4,598,30667,180987,3.9
12,,491,2014,U,4,,,,0,,,
13,杭州,22,2017,M,847,3900,5110,9.2,14,581,5507,0.7
13,深圳,586,2010,,3,,,,1,,,
,,,,,,,,,,,,
18,上海,1370,2014,,14,30,70,0.1,12,550,3033,0.2
6,上海,39,2015,M,2,,,,0,,,
3,深圳,172,2010,F,47,389,280,0.1,21,722,7633,0.2
,,,,,,,,,,,,
3,西安,363,2017,F,14,29,420,0.3,0,,,
63,杭州,588,2007,,225,466,1890,0.4,8,,,
85,中山,2276,2011,M,72,327,1400,0.2,48,1954,12720,0.5
543,成都,1843,2007,F,1183,3104,9310,1.9,566,19756,193450,3.9
14,上海,288,2010,,486,1447,8050,1.1,98,4779,29869,1.0
1,上海,732,2011,M,46,123,350,0.1,42,1672,14419,0.6
7,Toronto,281,2016,F,7,,,,3,,,
9,金华,77,2013,,9,,,,3,,,
9,武汉,1902,2011,U,187,1120,4130,0.4,108,3812,35900,1.1
7,武汉,702,2012,,7,,,,0,,,
256,Port-au-Prince,35752,2012,,213,1811,3150,0.6,26,1116,7547,0.3
64,深圳,3030,2009,,882,3339,10430,1.8,384,13796,110213,3.3
154,香港,2412,2006,F,697,2067,13930,1.0,55,1708,17825,0.3
10,上海,161,2013,F,3,,,,1,,,
376,北京,1737,2011,M,419,1742,13160,1.0,78,3537,27636,0.8
9,上海,2276,2014,,4,,,,17,828,4753,0.3
46,Daejeon (Taejŏn),491,2011,,154,380,3780,0.4,95,3797,35579,1.6
9,成都,427,2007,M,78,283,490,0.1,0,,,
46,上海,262,2012,M,35,102,560,0.1,7,,,
87,,1845,2007,U,94,747,2590,0.2,7,,,
143,常州,3286,2009,M,115,266,1120,0.2,237,6084,65624,3.2
27,,535,2008,,484,1696,3710,0.9,61,3308,32404,0.7
87,深圳,5202,2011,M,133,435,3290,0.3,294,13417,103226,2.9
3,深圳,60,2015,M,228,484,8540,1.0,13,496,9573,0.3
40,上海,24386,2007,,18,122,210,0.0,128,4137,28406,1.0
17,上海,154,2010,U,89,218,2730,0.2,10,383,2860,0.1
110,深圳,1034,2007,F,166,735,3220,0.3,63,2237,17999,0.5
239,,1186,2008,,215,691,1120,0.4,148,6793,57073,1.2
,,,,,,,,,,,,
2,Timor-Leste,374,2016,F,58,114,1470,0.3,23,1519,9409,0.6
,,,,,,,,,,,,
3,丽水,1304,2011,U,185,676,2170,0.5,7,,,
146,北京,731,2008,M,94,233,1820,0.2,36,1180,13628,0.4
172,大连,4311,2011,M,638,3990,10010,1.5,131,5108,45728,1.4
45,上海,2241,2016,,39,79,770,0.3,39,2160,17495,1.1
24,福州,1179,2018,,15,68,70,0.2,3,,,
17,广州,431,2013,M,28,148,140,0.1,1,,,
60,,2274,2011,,801,2515,8470,2.0,718,51804,279850,8.7
6,Fès,339,2017,,87,293,1680,1.0,0,,,
3,北京,302,2017,M,93,190,2240,0.8,4,,,
1152,上海,4996,2006,F,770,2853,8050,1.1,140,5866,64417,0.9
24,北京,1460,2013,,249,981,3710,0.8,106,2861,30253,1.4
12,北京,2368,2010,F,201,1262,5250,0.4,11,322,3202,0.1
69,Calgary,1690,2016,U,118,562,3710,0.7,31,1422,9068,0.8
796,昆明,8221,2009,M,843,4243,7140,1.6,125,3769,48498,1.1
153,New York City,2547,2012,U,132,345,1050,0.4,116,5018,41432,1.5
28,北京,3054,2011,U,904,3124,7490,2.1,0,,,
59,北京,1104,2008,F,486,1439,9940,0.8,49,1921,15387,0.4
321,Mendoza,950,2012,M,111,493,630,0.3,83,3952,27110,1.0
21,上海,767,2010,M,285,785,10010,0.6,174,7755,52434,1.6
260,,615,2007,M,84,314,840,0.1,445,17599,133757,3.2
11,重庆,367,2016,M,69,324,630,0.4,27,2006,5811,0.7
184,Singapore,344,2008,,451,1070,4550,0.8,350,14228,114147,2.5
